iter	MultiClass
134	0.2373655464
135	0.2349709618
136	0.2339230417
137	0.2328949796
138	0.2318865019
139	0.2310511189
140	0.230147465
141	0.2264605168
142	0.2236667838
143	0.2210401665
144	0.2177130528
145	0.215072815
146	0.2120129295
147	0.2096688135
148	0.2078194723
149	0.2075231119
150	0.2066268987
151	0.2062523655
152	0.2053712753
153	0.203125116
154	0.2024851514
155	0.2007702715
156	0.1985499097
157	0.1978986265
158	0.1959548562
159	0.1944890635
160	0.1940192237
161	0.1922475425
162	0.1902526359
163	0.1891981278
164	0.1879472003
165	0.1853228388
166	0.1838564142
167	0.1818800312
168	0.1802656845
169	0.1797164694
170	0.1794069526
171	0.1772145924
172	0.1764425981
173	0.1744996164
174	0.173032893
175	0.1712952339
176	0.1706639954
177	0.1701404172
178	0.1680430598
179	0.167424145
180	0.1655547999
181	0.1639651798
182	0.1624788609
183	0.161621898
184	0.1611809059
185	0.1599461397
186	0.1591809056
187	0.1578126523
188	0.157560716
189	0.1569539501
190	0.1563721481
191	0.1554589622
192	0.1545000628
193	0.1530249424
194	0.1516350259
195	0.1502285901
196	0.1497412864
197	0.1485720277
198	0.1477805223
199	0.1473215544
200	0.1463748177
201	0.145120468
202	0.144802656
203	0.1433827408
204	0.1431351874
205	0.1421453602
206	0.1416982727
207	0.1401448939
208	0.1392584744
209	0.1386460444
210	0.1378121246
211	0.1370241409
212	0.1365482949
213	0.1356150807
214	0.1345022554
215	0.1334279431
216	0.1326057648
217	0.1314230545
218	0.1311140929
219	0.130428584
220	0.1299111175
221	0.1294169809
222	0.1284006029
223	0.1280369776
224	0.1275755048
225	0.1263461266
226	0.1252273821
227	0.1246909094
228	0.123966587
229	0.1229008139
230	0.1223213758
231	0.1221599599
232	0.1215290364
233	0.120894874
234	0.120093267
235	0.1188726826
236	0.1176376647
237	0.1169847797
238	0.1159143317
239	0.1153833378
240	0.1150650116
241	0.1148759517
242	0.1139088769
243	0.1135280236
244	0.1129959215
245	0.1126095798
246	0.1120378335
247	0.1111984463
248	0.1107948578
249	0.1107273387
250	0.110533172
251	0.1100406657
252	0.1091928759
253	0.1090341634
254	0.1089213083
255	0.1085440949
256	0.1078212909
257	0.1071485113
258	0.1067403056
259	0.1058283335
260	0.1054446956
261	0.1046529584
262	0.1043305335
263	0.104026653
264	0.103532268
265	0.1030314436
266	0.102050962
267	0.1018031837
268	0.1014935281
269	0.100848335
270	0.1003338368
271	0.09969859773
272	0.09925993978
273	0.09868403271
274	0.09829037895
275	0.09799280113
276	0.09752852388
277	0.09718880377
278	0.09711122853
279	0.09660795426
280	0.09638921581
281	0.09606079483
282	0.09575716026
283	0.09562555542
284	0.09529889626
285	0.09434476295
286	0.09398419313
287	0.09354883262
288	0.09281186027
289	0.09249205998
290	0.09174215487
291	0.0911284485
292	0.09095285912
293	0.09027827948
294	0.09023002452
295	0.0897226751
296	0.08942839686
297	0.08889968052
298	0.088575409
299	0.0884128135
300	0.08803199759
301	0.08757751258
302	0.08710478873
303	0.08686824871
304	0.08638621888
305	0.08567912575
306	0.08533149447
307	0.08500543804
308	0.0844372726
309	0.08402627431
310	0.08351967352
311	0.08302045344
312	0.0826363883
313	0.08205507671
314	0.08149597012
315	0.08132332902
316	0.08078175317
317	0.08067522187
318	0.08046214128
319	0.08024398986
320	0.07967036262
321	0.07936920103
322	0.07910176557
323	0.07888545415
324	0.07870773422
325	0.07852097349
326	0.07788396408
327	0.07765516298
328	0.07752832657
329	0.07743009642
330	0.07731011519
331	0.07712899912
332	0.07674944252
333	0.07662797036
334	0.07640668592
335	0.07580329806
336	0.0755802485
337	0.07543538431
338	0.0753098979
339	0.07502082685
340	0.07490602396
341	0.07459047572
342	0.07426276289
343	0.07386090149
344	0.07368038062
345	0.07317022347
346	0.07275930019
347	0.07244328849
348	0.07191792557
349	0.07176603746
350	0.07136971358
351	0.07100752283
352	0.07065513814
353	0.07038072249
354	0.07018760192
355	0.06998238195
356	0.06968285032
357	0.06923183704
358	0.06907366226
359	0.06896924171
360	0.06888567806
361	0.06857881413
362	0.06815610392
363	0.06785654548
364	0.06779786621
365	0.06754793849
366	0.06739596693
367	0.06704071182
368	0.06684904066
369	0.06646305742
370	0.06626606386
371	0.06601547789
372	0.06570883829
373	0.06546904448
374	0.06528170883
375	0.06512231256
376	0.06492027426
377	0.06480646014
378	0.06469130814
379	0.06444486646
380	0.06431286164
381	0.06429657271
382	0.06394187662
383	0.06371188653
384	0.06333542069
385	0.06316700781
386	0.06280157745
387	0.0627038178
388	0.06241035552
389	0.06218603977
390	0.06200831473
391	0.06179587108
392	0.0616993612
393	0.06160017117
394	0.06142536926
395	0.0612840898
396	0.06098504829
397	0.0607367866
398	0.06053175693
399	0.06020242963
400	0.05989227364
401	0.05980186729
402	0.0597557943
403	0.05960867687
404	0.05929305428
405	0.05910949884
406	0.05903953777
407	0.05892122691
408	0.05886598911
409	0.05879151108
410	0.05854983557
411	0.05844391745
412	0.05838556133
413	0.05799803973
414	0.05784605503
415	0.05766788003
416	0.05746394913
417	0.05733376514
418	0.05702381853
419	0.0569671719
420	0.05670555775
421	0.05666790111
422	0.05661534493
423	0.05644606243
424	0.05632437581
425	0.05608136049
426	0.055934008
427	0.05588352859
428	0.05576941282
429	0.05564185706
430	0.05549807284
431	0.05529685182
432	0.05522503861
433	0.0551909933
434	0.05498081375
435	0.05476027365
436	0.05464217467
437	0.05434513118
438	0.05428251059
439	0.05404175866
440	0.05398568567
441	0.05386037102
442	0.05359993346
443	0.05343930188
444	0.05341654914
445	0.05323865368
446	0.05314720074
447	0.05292719047
448	0.05282581499
449	0.05257487051
450	0.05248685132
451	0.05230134673
452	0.05203869924
453	0.05199406526
454	0.05170399063
455	0.05157582957
456	0.05136749822
457	0.05123822539
458	0.05101495427
459	0.05089606679
460	0.05077330097
461	0.05057911836
462	0.05031559259
463	0.05014475962
464	0.04995000799
465	0.04988642197
466	0.04977426064
467	0.04960815658
468	0.04951775925
469	0.04933803703
470	0.04920869386
471	0.04900270596
472	0.04897079336
473	0.04885052858
474	0.04872348568
475	0.0486838039
476	0.0486625584
477	0.04856985556
478	0.04850222718
479	0.0484577997
480	0.04844853133
481	0.04820183014
482	0.04809704116
483	0.04784528781
484	0.0477151633
485	0.04758083269
486	0.04736949765
487	0.04724355123
488	0.04709392917
489	0.04695819112
490	0.04686116891
491	0.04674142276
492	0.04668770888
493	0.0466301321
494	0.04643619738
495	0.04619504676
496	0.04610469249
497	0.0459289896
498	0.04587544283
499	0.04581573555
500	0.04569132824
501	0.04556655148
502	0.04545704769
503	0.04538425485
504	0.04527255815
505	0.04514538049
506	0.04491963681
507	0.04473988679
508	0.04455968524
509	0.04442507486
510	0.04430435684
511	0.04409650613
512	0.04401319235
513	0.04385268989
514	0.0437275435
515	0.04355436536
516	0.04335754351
517	0.04322789293
518	0.04314256158
519	0.04308168996
520	0.04302408132
521	0.04295464683
522	0.04277383762
523	0.04261401613
524	0.04252159047
525	0.04245898892
526	0.04243045493
527	0.04241253257
528	0.04227567852
529	0.04213636115
530	0.04196366414
531	0.04189452231
532	0.04176300287
533	0.04163949278
534	0.04158957255
535	0.04147111073
536	0.04145710228
537	0.04130572496
538	0.04117120485
539	0.04102925764
540	0.04089233955
541	0.04076224113
542	0.04062263948
543	0.04060937657
544	0.04045868547
545	0.04023372637
546	0.04016180175
547	0.0401290887
548	0.04009080199
549	0.0400354336
550	0.03995198595
551	0.03983615211
552	0.03971523668
553	0.03968465079
554	0.03963884459
555	0.03958232284
556	0.03947636653
557	0.03932971302
558	0.03910179991
559	0.03905679882
560	0.03897940891
561	0.0388324701
562	0.03866969099
563	0.03861553874
564	0.03853458627
565	0.03844998576
566	0.03828426516
567	0.03807993212
568	0.03795077987
569	0.03786792995
570	0.0377495836
571	0.03767357386
572	0.03760829328
573	0.03758116916
574	0.03750757528
575	0.03748681496
576	0.03743666133
577	0.03742761584
578	0.03729140434
579	0.03725580848
580	0.03714170822
581	0.03704869689
582	0.03698433056
583	0.03692576781
584	0.03686580881
585	0.03678431696
586	0.03664843627
587	0.03662522941
588	0.03656814141
589	0.03649700163
590	0.03645124011
591	0.0362701784
592	0.03622799206
593	0.03611298083
594	0.03605533899
595	0.03598392154
596	0.03588306302
597	0.03577310407
598	0.03567790488
599	0.03561168156
600	0.03553849869
601	0.03547227914
602	0.03532849416
603	0.03525827802
604	0.03513537707
605	0.03502482642
606	0.034855257
607	0.0348034823
608	0.03476116812
609	0.03465637084
610	0.03461445625
611	0.03448360361
612	0.03435474605
613	0.0343397677
614	0.03427395343
615	0.034153984
616	0.0340637784
617	0.03394326793
618	0.03379895279
619	0.03364272287
620	0.03356834673
621	0.03354941178
622	0.03343480218
623	0.03341899574
624	0.03335039308
625	0.03320544351
626	0.03315620822
627	0.03308682995
628	0.03304194491
629	0.03295361265
630	0.03289016897
631	0.03276711781
632	0.03267801837
633	0.03253901682
634	0.03245768942
635	0.0324141968
636	0.0323452792
637	0.03233620726
638	0.03220665691
639	0.03216672153
640	0.0320710236
641	0.03205740135
642	0.0319842699
643	0.03185968436
644	0.031772304
645	0.03175204455
646	0.03169201117
647	0.03162182763
648	0.03150391833
649	0.03147539705
650	0.0314163019
651	0.03134772919
652	0.03128855881
653	0.03115013346
654	0.03106302158
655	0.03100811116
656	0.03096190992
657	0.03093031453
658	0.03076527476
659	0.0306844082
660	0.03066618143
661	0.0306365248
662	0.03058467704
663	0.03050945056
664	0.03046470201
665	0.03040724224
666	0.03035647851
667	0.03035013923
668	0.03033937891
669	0.03022760038
670	0.03020753423
671	0.03010723705
672	0.02999956869
673	0.02996200865
674	0.02983229711
675	0.02976080273
676	0.02962329641
677	0.02958613559
678	0.02945446811
679	0.02943328296
680	0.02936497897
681	0.0292951737
682	0.02922202104
683	0.02914904714
684	0.02906403625
685	0.02895390514
686	0.02890401973
687	0.02882873977
688	0.02879711362
689	0.02877165813
690	0.02873421233
691	0.0286663372
692	0.02863037146
693	0.02851471802
694	0.02847951819
695	0.02843254115
696	0.02841603303
697	0.0283902226
698	0.02832683508
699	0.02829913107
700	0.02821968702
701	0.028150781
702	0.02807785059
703	0.02799965128
704	0.02799475713
705	0.02792753617
706	0.0279158967
707	0.02785699726
708	0.02780720145
709	0.02776012408
710	0.02772096719
711	0.02762848581
712	0.02756849063
713	0.02744642606
714	0.02731618803
715	0.02730194389
716	0.02723976156
717	0.02717112527
718	0.02713413218
719	0.02710689814
720	0.02703991377
721	0.02697686971
722	0.0269360283
723	0.02685692506
724	0.02678214403
725	0.02677005893
726	0.02668365146
727	0.02662545896
728	0.02658136493
729	0.02652438432
730	0.02649814472
731	0.02640621187
732	0.0263189108
733	0.02623646286
734	0.02617961914
735	0.02611716398
736	0.02604585065
737	0.02597360348
738	0.02593782789
739	0.02592003021
740	0.02586439237
741	0.02584728156
742	0.0258144479
743	0.02573792682
744	0.02568030955
745	0.0256400694
746	0.02555700209
747	0.0254646228
748	0.02542367065
749	0.02537409214
750	0.0253189763
751	0.02522965272
752	0.02520770161
753	0.02513498649
754	0.02509999083
755	0.02503607757
756	0.02495528141
757	0.02491836129
758	0.02488303136
759	0.02483589665
760	0.02479470661
761	0.02472457484
762	0.02471436469
763	0.02467028789
764	0.02459754561
765	0.02452568743
766	0.02447316272
767	0.02445669044
768	0.02438174248
769	0.02429876667
770	0.02425128747
771	0.02420243419
772	0.02418784087
773	0.02411084366
774	0.02403986339
775	0.02401652847
776	0.02393079641
777	0.02385016102
778	0.02377098962
779	0.02374397175
780	0.02371527389
781	0.02365560427
782	0.02362400927
783	0.02359406473
784	0.02352246278
785	0.02350440642
786	0.02345405946
787	0.02339291284
788	0.02331899824
789	0.02327659422
790	0.02320987463
791	0.02315921358
792	0.02312114561
793	0.02306217465
794	0.02299995196
795	0.02294567098
796	0.02290617563
797	0.02285389687
798	0.02282472092
799	0.02279218227
800	0.02276298512
801	0.0227269824
802	0.02269389828
803	0.02261755389
804	0.02253292946
805	0.02248750836
806	0.0224538226
807	0.02242293775
808	0.02234598389
809	0.02231649788
810	0.02228083613
811	0.02226981872
812	0.02220798571
813	0.02212428858
814	0.02207361925
815	0.02201543107
816	0.02190473099
817	0.02188098378
818	0.02185979855
819	0.02179530227
820	0.02173066538
821	0.0217027385
822	0.02168212376
823	0.02165175371
824	0.02159837338
825	0.02157448717
826	0.02153220429
827	0.0215198463
828	0.02151315729
829	0.0214914478
830	0.02148259013
831	0.021383607
832	0.02133155667
833	0.02128508616
834	0.02124092344
835	0.02120652148
836	0.02115441374
837	0.02110740964
838	0.02107906248
839	0.02105628048
840	0.02104079512
841	0.02100216607
842	0.02099336074
843	0.02092409023
844	0.02088283671
845	0.02083679474
846	0.02082666992
847	0.02077483116
848	0.02075159428
849	0.02068397502
850	0.02062706625
851	0.02060284172
852	0.0205555797
853	0.02053775235
854	0.02047258233
855	0.02039508263
856	0.0203648051
857	0.02033869607
858	0.02028598066
859	0.02027403902
860	0.0202246139
861	0.0201704745
862	0.02013751649
863	0.02007884476
864	0.02002163586
865	0.02000664719
866	0.019995821
867	0.01994179308
868	0.01992550507
869	0.01988276877
870	0.01983300651
871	0.01982067594
872	0.01978023998
873	0.01973232215
874	0.01969004753
875	0.01968165725
876	0.01965678434
877	0.01962011897
878	0.01958324284
879	0.01957619754
880	0.0195554643
881	0.01953890386
882	0.01952973151
883	0.01946945796
884	0.01942723765
885	0.01934936403
886	0.01933573423
887	0.01932025306
888	0.01929249251
889	0.01924793051
890	0.01923532214
891	0.01920220599
892	0.01917776832
893	0.01915689754
894	0.01911803968
895	0.01909459352
896	0.01906248785
897	0.01900693057
898	0.01896468485
899	0.01895164896
900	0.01893183088
901	0.01888831628
902	0.01884848187
903	0.01883882207
904	0.01883484438
905	0.0188029788
906	0.01875395621
907	0.01872164256
908	0.01871457978
909	0.01867121917
910	0.01865281808
911	0.01861508543
912	0.01858374509
913	0.01852034698
914	0.01851510817
915	0.01849180333
916	0.01843272844
917	0.01839920875
918	0.01839187661
919	0.01833913407
920	0.01832818631
921	0.01830249343
922	0.01828992507
923	0.01824297287
924	0.01820985326
925	0.01818962727
926	0.01815604935
927	0.01815342313
928	0.01809523266
929	0.01805772472
930	0.01803665107
931	0.01797235081
932	0.01794072792
933	0.01788793439
934	0.01784396228
935	0.01784030646
936	0.01780284248
937	0.01776482516
938	0.01774479825
939	0.01771289613
940	0.01768660976
941	0.01764548609
942	0.01762756725
943	0.01761110479
944	0.01759109525
945	0.01757444293
946	0.01752074046
947	0.01750181172
948	0.01748221982
949	0.01744495492
950	0.01741185916
951	0.01738623736
952	0.01735157703
953	0.01728767467
954	0.01725747349
955	0.01724120684
956	0.01721585784
957	0.0171852077
958	0.01715289554
959	0.01713372632
960	0.0171042074
961	0.01708163897
962	0.01707193858
963	0.01703108404
964	0.01699267192
965	0.01694995116
966	0.01694729061
967	0.01690178579
968	0.01687432347
969	0.01685088092
970	0.01680929043
971	0.01678659935
972	0.01676752117
973	0.01673857192
974	0.01670294912
975	0.01669408109
976	0.01668575193
977	0.01664693771
978	0.01662356929
979	0.01660390445
980	0.01654983953
981	0.01652484463
982	0.01648187341
983	0.01643311063
984	0.01639826705
985	0.01638264897
986	0.01635898196
987	0.01632271966
988	0.01627768369
989	0.01625024037
990	0.01624509581
991	0.01622467455
992	0.01617137786
993	0.01616233791
994	0.01612475154
995	0.01607393572
996	0.01602205636
997	0.01597073981
998	0.01594039886
999	0.01592181829
